LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
21, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 69516.0, 3154176, -157287.0, -1.0, 3145740, -346.0, -1.0, 6920, 16926.0, 122559.0, 3154176,
22, 257.0, 314638.0, 6969600, 1.0, 158053.0, 73728, 511.0, 314956.0, 4646400, -157287.0, 314575.0, 9437220, -7373.0, -1.0, 147460, 8766.0, 337689.0, 4646421,
23, 257.0, 157414.0, 3359232, 1.0, 14984.0, 294912, 511.0, 157796.0, 3732480, -157287.0, 157287.0, 6291480, -14746.0, -1.0, 294920, 5500.0, 187133.0, 3732489,
24, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -77876.0, -1.0, 1557520, -58983.0, -1.0, 1179660, 9305.0, 129276.0, 3115008,
25, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -33178.0, -1.0, 663560, -117965.0, -1.0, 2359300, 26176.0, 46685.0, 1327104,
26, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -5760.0, -1.0, 115200, -117965.0, -1.0, 2359300, 28475.0, 39994.0, 230400,
27, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -154880.0, -1.0, 3097600, -1882.0, -1.0, 37640, 12865.0, 51584.0, 774400,
28, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, -140084.0, -1.0, 2801680, -61440.0, -1.0, 1228800, 25497.0, 43007.0, 350208,
29, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, -10036.0, -1.0, 200720, -2458.0, -1.0, 49160, 1549.0, 4057.0, 50176,
30, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, -64000.0, -1.0, 1280000, -157287.0, -1.0, 3145740, 43299.0, 55298.0, 240000,
31, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, -5018.0, -1.0, 100360, -6554.0, -1.0, 131080, 1923.0, 5686.0, 75264,
32, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, -2509.0, -1.0, 50180, -10650.0, -1.0, 213000, 3259.0, 5767.0, 50176,
33, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, -9447.0, -1.0, 188940, -157287.0, -1.0, 3145740, 63549.0, 68272.0, 94464,
34, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -154880.0, -1.0, 3097600, -1882.0, -1.0, 37640, 12865.0, 51584.0, 774400,
